cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"005","005000714","05009","ASPRES-LES-CORPS","","","","00500140539","2026-02-04","10h56","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ASPRES LES CORPS","ASPRES LES CORPS (MAIRIE D')","ASPRES LES CORPS (MAIRIE D')","C","C","C","C"
"005","005000715","05001","ABRIES-RISTOLAS","","","","00500140281","2026-01-13","10h53","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ABRIES-RISTOLAS","MAIRIE DE ABRIES-RISTOLAS","MAIRIE DE ABRIES-RISTOLAS","C","C","C","C"
"005","005000715","05001","ABRIES-RISTOLAS","","","","00500140487","2026-02-03","12h26","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ABRIES-RISTOLAS","MAIRIE DE ABRIES-RISTOLAS","MAIRIE DE ABRIES-RISTOLAS","C","C","C","C"
"005","005000717","05001","ABRIES-RISTOLAS","","","","00500140245","2026-01-13","10h38","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ABRIES-RISTOLAS","MAIRIE DE ABRIES-RISTOLAS","MAIRIE DE ABRIES-RISTOLAS","C","C","C","C"
"005","005000720","05003","AIGUILLES","","","","00500140473","2026-02-03","11h07","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION AIGUILLES","AIGUILLES (MAIRIE D')","AIGUILLES (MAIRIE D')","C","C","C","C"
"005","005000721","05004","ANCELLE","","","","00500140244","2026-01-13","08h52","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. L’eau n’est pas conforme à la référence de qualité ""conductivité"". Une eau de faible conductivité est une eau peu minéralisée.","ADDUCTION ANCELLE","ANCELLE (MAIRIE D')","ANCELLE (MAIRIE D')","C","C","C","N"
"005","005000721","05004","ANCELLE","005001937","RÉSERVOIR DU CHARDONNET","100 %","00500140616","2026-02-09","08h58","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ANCELLE","ANCELLE (MAIRIE D')","ANCELLE (MAIRIE D')","C","C","C","C"
"005","005000721","05004","ANCELLE","","","","00500140619","2026-02-09","09h08","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ANCELLE","ANCELLE (MAIRIE D')","ANCELLE (MAIRIE D')","C","C","C","C"
"005","005000723","05004","ANCELLE","","","","00500140579","2026-02-09","09h28","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ANCELLE","ANCELLE (MAIRIE D')","ANCELLE (MAIRIE D')","C","C","C","C"
"005","005000725","05007","ARVIEUX","","","","00500140236","2026-01-13","08h51","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ARVIEUX","ARVIEUX (MAIRIE D')","ARVIEUX (MAIRIE D')","C","C","C","C"
"005","005000725","05007","ARVIEUX","","","","00500140456","2026-02-03","08h20","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ARVIEUX","ARVIEUX (MAIRIE D')","ARVIEUX (MAIRIE D')","C","C","C","C"
"005","005000733","05132","SAINT-BONNET-EN-CHAMPSAUR","","","","00500140806","2026-02-24","11h27","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ST BONNET (DE)","MAIRIE DE SAINT-BONNET-EN-CHAMPSAUR","MAIRIE DE SAINT-BONNET-EN-CHAMPSAUR","C","C","C","C"
"005","005000734","05132","SAINT-BONNET-EN-CHAMPSAUR","","","","00500140809","2026-02-24","12h22","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ST BONNET (DE)","MAIRIE DE SAINT-BONNET-EN-CHAMPSAUR","MAIRIE DE SAINT-BONNET-EN-CHAMPSAUR","C","C","C","C"
"005","005000735","05132","SAINT-BONNET-EN-CHAMPSAUR","","","","00500140808","2026-02-24","12h12","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION ST BONNET (DE)","MAIRIE DE SAINT-BONNET-EN-CHAMPSAUR","MAIRIE DE SAINT-BONNET-EN-CHAMPSAUR","C","C","C","C"
"005","005000738","05023","BRIANCON","","","","00500140124","2026-01-06","12h10","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","S","C","S","C"
"005","005000738","05023","BRIANCON","","","","00500140139","2026-01-06","10h34","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","S","C","S","C"
"005","005000738","05023","BRIANCON","","","","00500140183","2026-01-06","12h12","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Dépassement de la référence pour le paramètre sulfates - Cette eau est  déconseillée à la consommation pour les personnes agées et les nourrissons (en raison de leur effet laxatif) - Faire une information aux usagers.  Par ailleurs, la surveillance de l'état de corrosion du réseau doit être extrêmement vigilante pour ce type d'eau très minéralisée. les eaux ne doivent pas être corrosives.","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","C","C","C","N"
"005","005000738","05023","BRIANCON","","","","00500140184","2026-01-06","10h38","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Dépassement de la référence pour le paramètre sulfates - Cette eau est  déconseillée à la consommation pour les personnes agées et les nourrissons (en raison de leur effet laxatif) - Faire une information aux usagers.  Par ailleurs, la surveillance de l'état de corrosion du réseau doit être extrêmement vigilante pour ce type d'eau très minéralisée. les eaux ne doivent pas être corrosives.","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","C","C","C","N"
"005","005000738","05023","BRIANCON","","","","00500140778","2026-02-20","10h38","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Dépassement de la référence pour le paramètre sulfates - Cette eau est  déconseillée à la consommation pour les personnes agées et les nourrissons (en raison de leur effet laxatif) - Faire une information aux usagers.  Par ailleurs, la surveillance de l'état de corrosion du réseau doit être extrêmement vigilante pour ce type d'eau très minéralisée. les eaux ne doivent pas être corrosives.","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","C","C","C","N"
"005","005000738","05023","BRIANCON","","","","00500140782","2026-02-20","10h36","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","S","C","S","C"
"005","005000739","05023","BRIANCON","","","","00500140137","2026-01-06","09h14","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","C","C","C","C"
"005","005000739","05023","BRIANCON","","","","00500140621","2026-02-09","11h08","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","C","C","C","C"
"005","005000743","05024","VALDOULE","","","","00500140474","2026-02-03","11h55","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION VAL D'OULE","MAIRIE DE VALDOULE","MAIRIE DE VALDOULE","C","C","C","C"
"005","005000746","05025","BUISSARD","","","","00500140674","2026-02-12","11h17","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION BUISSARD (DE)","BUISSARD (MAIRIE DE)","BUISSARD (MAIRIE DE)","C","C","C","C"
"005","005000747","05032","CHAMPOLEON","","","","00500140585","2026-02-11","09h17","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION CHAMPOLEON (DE)","CHAMPOLEON (MAIRIE DE)","CHAMPOLEON (MAIRIE DE)","C","C","C","C"
"005","005000748","05027","CERVIERES","","","","00500140610","2026-02-09","10h34","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION CERVIERES (DE)","CERVIERES (MAIRIE DE)","CERVIERES (MAIRIE DE)","C","C","C","C"
"005","005000749","05039","AUBESSAGNE","","","","00500140532","2026-02-04","10h09","Eau d'alimentation non-conforme aux exigences de qualité.","ADDUCTION AUBESSAGNE (DE)","MAIRIE DE AUBESSAGNE","MAIRIE DE AUBESSAGNE","N","C","N","C"
"005","005000749","05039","AUBESSAGNE","","","","00500140612","2026-02-09","12h27","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION AUBESSAGNE (DE)","MAIRIE DE AUBESSAGNE","MAIRIE DE AUBESSAGNE","C","C","C","C"
"005","005000754","05039","AUBESSAGNE","","","","00500140349","2026-01-20","11h01","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Un message a été adressé au gestionnaire pour prendre des mesures corr ectives. Paramètres non-conformes : - Bactéries coliformes","ADDUCTION AUBESSAGNE (DE)","MAIRIE DE AUBESSAGNE","MAIRIE DE AUBESSAGNE","C","C","N","C"
"005","005000754","05039","AUBESSAGNE","","","","00500140423","2026-01-27","10h12","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION AUBESSAGNE (DE)","MAIRIE DE AUBESSAGNE","MAIRIE DE AUBESSAGNE","C","C","C","C"
"005","005000755","05039","AUBESSAGNE","","","","00500140533","2026-02-04","10h33","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION AUBESSAGNE (DE)","MAIRIE DE AUBESSAGNE","MAIRIE DE AUBESSAGNE","C","C","C","C"
"005","005000762","05038","CHATEAU-VILLE-VIEILLE","","","","00500140243","2026-01-13","09h55","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION CHATEAU VILLE VIEILLE","CHATEAU VILLE VIEILLE (MAIRIE DE)","CHATEAU VILLE VIEILLE (MAIRIE DE)","C","C","C","C"
"005","005000764","05064","CHAPELLE-EN-VALGAUDEMAR (LA)","","","","00500140538","2026-02-04","12h02","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité : Eau peu mineralisée.","ADDUCTION CHAPELLE EN VALGAUDEMAR","CHAPELLE EN VALGAUDEMARD (MAIRIE DE","CHAPELLE EN VALGAUDEMARD (MAIRIE DE","C","C","C","N"
"005","005000772","05029","CHABOTTES","","","","00500140675","2026-02-12","09h07","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de coliformes totaux indiquant une vulnérabilité du réseau ou de la ressource.Ces bactéries sont naturellement présentes dans le sol, leur présence peut s'expliquer par un lessivage des sols lors d'un orage,une mauvaise filtration de l'eau captée, la présence de fuites sur le réseau. Je vous invite à prendre toutes les mesures nécessaires à la recherche de la cause de la pollution (visite de captage et des alentours, réservoirs, recherche de fuites...) et à prendre les mesures correctives afin d'y remédier (nettoyage des ouvrages, visite de la zone de drain,…).","ADDUCTION CHABOTTES (DE)","CHABOTTES (MAIRIE DE)","CHABOTTES (MAIRIE DE)","C","C","N","C"
"005","005000773","05029","CHABOTTES","","","","00500140256","2026-01-12","11h29","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION CHABOTTES (DE)","CHABOTTES (MAIRIE DE)","CHABOTTES (MAIRIE DE)","C","C","C","C"
"005","005000775","05054","FARE-EN-CHAMPSAUR (LA)","","","","00500140324","2026-01-20","09h56","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION FARE EN CHAMPSAUR (DE LA)","FARE EN CHAMPSAUR (MAIRIE DE LA)","FARE EN CHAMPSAUR (MAIRIE DE LA)","C","C","C","C"
"005","005000776","05054","FARE-EN-CHAMPSAUR (LA)","","","","00500140343","2026-01-20","13h38","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION FARE EN CHAMPSAUR (DE LA)","FARE EN CHAMPSAUR (MAIRIE DE LA)","FARE EN CHAMPSAUR (MAIRIE DE LA)","C","C","C","C"
"005","005000777","05054","FARE-EN-CHAMPSAUR (LA)","","","","00500140325","2026-01-20","13h56","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION FARE EN CHAMPSAUR (DE LA)","FARE EN CHAMPSAUR (MAIRIE DE LA)","FARE EN CHAMPSAUR (MAIRIE DE LA)","C","C","C","C"
"005","005000778","05056","FOREST-SAINT-JULIEN","","","","00500140680","2026-02-12","11h37","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de coliformes totaux indiquant une vulnérabilité du réseau ou de la ressource.Ces bactéries sont naturellement présentes dans le sol, leur présence peut s'expliquer par un lessivage des sols lors d'un orage,une mauvaise filtration de l'eau captée, la présence de fuites sur le réseau. Je vous invite à prendre toutes les mesures nécessaires à la recherche de la cause de la pollution (visite de captage et des alentours, réservoirs, recherche de fuites...) et à prendre les mesures correctives afin d'y remédier (nettoyage des ouvrages, visite de la zone de drain,…).","ADDUCTION FOREST ST JULIEN (DE)","FOREST SAINT JULIEN (MAIRIE DE)","FOREST SAINT JULIEN (MAIRIE DE)","C","C","N","C"
"005","005000778","05056","FOREST-SAINT-JULIEN","","","","00500141273","2026-02-23","12h27","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION FOREST ST JULIEN (DE)","FOREST SAINT JULIEN (MAIRIE DE)","FOREST SAINT JULIEN (MAIRIE DE)","C","C","C","C"
"005","005000779","05056","FOREST-SAINT-JULIEN","","","","00500140679","2026-02-12","11h59","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION FOREST ST JULIEN (DE)","FOREST SAINT JULIEN (MAIRIE DE)","FOREST SAINT JULIEN (MAIRIE DE)","C","C","C","C"
"005","005000784","05072","LAYE","","","","00500140540","2026-02-04","09h17","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION LAYE (DE)","LAYE (MAIRIE DE)","LAYE (MAIRIE DE)","C","C","C","C"
"005","005000785","05072","LAYE","","","","00500140531","2026-02-04","08h52","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION LAYE (DE)","LAYE (MAIRIE DE)","LAYE (MAIRIE DE)","C","C","C","C"
"005","005000788","05086","MONTJAY","","","","00500140132","2026-01-06","10h46","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION MONTJAY (DE)","MONTJAY (MAIRIE DE)","MONTJAY (MAIRIE DE)","C","C","C","C"
"005","005000792","05023","BRIANCON","","","","00500140135","2026-01-06","10h16","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de coliformes totaux indiquant une vulnérabilité du réseau ou de la ressource.Ces bactéries sont naturellement présentes dans le sol, leur présence peut s'expliquer par un lessivage des sols lors d'un orage,une mauvaise filtration de l'eau captée, la présence de fuites sur le réseau. Je vous invite à prendre toutes les mesures nécessaires à la recherche de la cause de la pollution (visite de captage et des alentours, réservoirs, recherche de fuites...) et à prendre les mesures correctives afin d'y remédier (nettoyage des ouvrages, visite de la zone de drain,…).","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","C","C","N","C"
"005","005000792","05023","BRIANCON","","","","00500140141","2026-01-06","10h20","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","S","C","S","C"
"005","005000792","05023","BRIANCON","","","","00500140779","2026-02-20","10h58","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","C","C","C","C"
"005","005000792","05023","BRIANCON","","","","00500140892","2026-02-20","10h56","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION BRIANCON","EAU SERVICES HTE DURANCE","BRIANCON (MAIRIE DE)","S","C","S","C"
"005","005000793","05090","MOTTE-EN-CHAMPSAUR (LA)","","","","00500140348","2026-01-20","13h08","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","ADDUCTION MOTTE/CHAMPSAUR (DE LA)","MOTTE EN CHAMPSAUR (MAIRIE DE LA)","MOTTE EN CHAMPSAUR (MAIRIE DE LA)","C","C","C","C"
"005","005000797","05085","MONTGENEVRE","","","","00500140664","2026-02-09","12h45","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Dépassement de la référence pour le paramètre sulfates - Cette eau est  déconseillée à la consommation pour les personnes agées et les nourrissons (en raison de leur effet laxatif) - Faire une information aux usagers.  Par ailleurs, la surveillance de l'état de corrosion du réseau doit être extrêmement vigilante pour ce type d'eau très minéralisée. les eaux ne doivent pas être corrosives.","ADDUCTION MONTGENEVRE (DE)","MONTGENEVRE (MAIRIE DE)","MONTGENEVRE (MAIRIE DE)","C","C","C","N"
"005","005000798","05085","MONTGENEVRE","","","","00500140194","2026-01-08","10h17","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité. Présence de carbone organique total (COT). Le carbone organique total (COT) fournit une indication sur la charge organique d'une eau substance humique - décomposition naturelle de la matière organique). La matière organique est présente dans les eaux superficielles essentiellement. La concentration du COT peut varier en fonction des saisons et des débits. Le COT n'a pas d'impact direct sur la santé des populations. L'excès de COT peut engendrer une prolifération de micro organisme. Cette eau ne respecte pas les références de qualité en ce qui concerne le paramètre ""conductivité"". Une eau de faible conductivité peut indiquer une eau corrosive.","ADDUCTION MONTGENEVRE (DE)","MONTGENEVRE (MAIRIE DE)","MONTGENEVRE (MAIRIE DE)","C","C","C","N"
